No,BookCode,BookName,BookAuthor,Publication,Domain
1,AL-DSA-0011,Data Structure using C,Wipro,Wipro,Data Structures and Algorithms
2,AL-DSA-002,Computer Algorithms,Sara Baase,Pearson Education,Data Structures and Algorithms
3,AL-DSA-003,Graph Theory,Narsingh Deo,PHI private limited,Data Structures and Algorithms
4,AL-DSA-004,"Data Dtructures, Files and Algorithms",Abhay K. Abhyankar,C-Aditi Publications,Data Structures and Algorithms
5,AL-DSA-005,Data Structures,Sunita S. Barve,Vipul Prakashan,Data Structures and Algorithms
6,AL-DSA-00601,Fundamentals of Computer algorithms,Ellis Horowitz,University Press,Data Structures and Algorithms
7,AL-DSA-008,Data structure and algorithm,Bhakti C. Raul & Vinaya Rawool,Tech-Max Publications,Data Structures and Algorithms
8,AL-DSA-0081,Data Structures and Algorithms,Bhakti Raul-Palkar,Tech-Max Publications,Data Structures and Algorithms
9,AL-DSA-010,Structured Programming Approach,Kogent Learning Solutions Inc.,dreamTech Press,Data Structures and Algorithms
10,AL-DSA-012,Data Structure Using C,Udit Agarwal,Katson Books,Data Structures and Algorithms
11,AL-DSA-01202,Data Structures using C,Udit Agrawal,Katson Books,Data Structures and Algorithms
12,AL-DSA-015,Data Structure a Pseudocode approach with C,Richard F. Gilberg & Behrouz A. Forouzan,Cengage Learning,Data Structures and Algorithms
13,AL-DSA-01501,Data Structures A Pseudocode Approach with C,Richard F. Gilberg and Behrouz A. Forouzan,Cengage Publication,Data Structures and Algorithms
14,AL-DSA-01604,Programming in C,Pradip Dey,Oxforf Higher Education,Data Structures and Algorithms
15,AL-DSA-019,The Design and Analysis of Computer Algorithms,Aho Hopcroft Ullman,Pearson Education,Data Structures and Algorithms
16,AL-DSA-020,Data Structures with Java,John R Hubbard,Tata McGraw-Hill Education,Data Structures and Algorithms
17,AL-DSA-021,Structural and Object Oriented Analysis and Design,A.A. Puntambekar,Technical Publications,Data Structures and Algorithms
18,AL-DSA-022,Data Structures Theory Problems and Algorithms,R. S. Salaria,Khanna Book Publication,Data Structures and Algorithms
19,AL-DSA-023,Data Structures and Files,Bhakti C Raul & Vinaya M. Rawool,Techmax Publication,Data Structures and Algorithms
20,AL-DSA-024,Design and Analysis of Algorithms,V.K. Pallaw,Asian Books Private LTD,Data Structures and Algorithms
21,AL-DSA-027,Design And Analysis Of Algorithms,A.A. Puntambekar,Technical Publications,Data Structures and Algorithms
22,AL-DSA-02701,Data structures & Algorithm Analysis,A. A. Puntambekar,Technical Publication,Data Structures and Algorithms
23,AL-DSA-030,Data Structure through C++,Yashwant Kanetkar,BPB Publications,Data Structures and Algorithms
24,AL-DSA-031,Data Structure & Analysis,Dilip Kumar Sultania,Tech Max Publication,Data Structures and Algorithms
25,AL-DSA-033,Data structures using C,E Balagurusamy,McGraw Hill education,Data Structures and Algorithms
26,AL-DSA-034,Algorithms Design and Analysis,Harsh Bhasin,Oxford Higher Education,Data Structures and Algorithms
27,AL-DSA-035,Data structure and algorithms in Java,Michael T Goodrich,Wiley India Edition,Data Structures and Algorithms
28,AL-DSA-038,Understanding Pointers in C,Yashavant P. Kanetkar,BPB Publication,Data Structures and Algorithms
29,AL-DSA-040,Data Structures with C,Rachel,Oxford Publication,Data Structures and Algorithms
30,AL-DSA-041,Algorithms in C++,Robert Sedgewick,Pearson Publication,Data Structures and Algorithms
31,AL-EA-001,Practical Optimization Algorithms and Engineering Applications,Andreas Antoniou,Springer Publication,Algorithms and Engineering Applications
32,BES-CP1-003,Computer Programming - I,Mohankumar Zade,Nirali Prakashan,Computer Programming
33,BES-CP1-006,Computer Programming - I Unix And C,M.P. Bhave,Nandu Publications,Computer Programming
34,BES-CP-0011,Computer Concepts and C Programming,P. B. Kotur,Sapna Book house,Computer Programming
35,BES-CP-0023,Programming in ANSI,E. Balaguruswamy,Tata McGrawHill Education,Computer Programming
36,BES-CP-0030,Information Technology and C Language,Rajiv Khanna,New Age International Publishers,Computer Programming
37,BES-CP-004,Computet Programming -1,Sneha Phadke,Technova Publication,Computer Programming
38,BES-CP-005,Unix and C,M. P. Bhave &S.A. Paterkar,Nandu,Computer Programming
39,BES-CP-0101,Object Oriented Programming with C++,E Balgurusamy,McGrawHill Education,Computer Programming
40,BES-CP-011,Computer Programming -II,Aniket Mhala,Nirali Prakashan,Computer Programming
41,BES-CP-0131,Computer Programming-II,Harish Narula,TechMax Publication,Computer Programming
42,BES-CP-0134,Computer Programming - 2,Harish G. Narula,TechMax Publications,Computer Programming
43,BES-CP-015,Computer Programming I,M. M. Shah & Vivek Kulkarni,Technova,Computer Programming
44,BES-CP-0151,Computer Programming 1,M.M. SHAH Vivek Kulkarni,TechMax,Computer Programming
45,BES-CP-0161,Computer Programming in C++,Junaid Khateeb,dreamtech Press,Computer Programming
46,BES-CP-0171,Computer Programming - II,Bhakti Raul & Vinaya Rawool,Techmax Publication,Computer Programming
47,BES-CP-0173,Computer Programming II,Bhakti Raul Palkar & Vinaya Rawool,Techmax Publication,Computer Programming
48,BES-CP-0181,Computer Programming - 1,Deepak H. Sharma,Pearson,Computer Programming
49,BES-CP-019,C and Unix Programming,Narayanaswamy kutti,Tata McGraw Hill,Computer Programming
50,BES-CP-020,Computer Programming -1,Aniket Mhala,Nirali Prakashan,Computer Programming
